Trial,Spatial Frequency,Temporal Frequency,Direction,Time
blank,0.0212,0.031,270,0.1296491
stationary,0.0212,0.031,270,1.1286575
moving,0.0212,0.031,270,2.1311995
blank,0.0106,0.125,270,5.1394106
stationary,0.0106,0.125,270,6.1407482
moving,0.0106,0.125,270,7.141509
blank,0.001336,8,270,10.1506044
stationary,0.001336,8,270,11.1515477
moving,0.001336,8,270,12.1525012
blank,0.00267,2,45,15.1621315
stationary,0.00267,2,45,16.1630231
moving,0.00267,2,45,17.1640364
blank,0.000668,16,180,20.1735819
stationary,0.000668,16,180,21.1745833
moving,0.000668,16,180,22.1755025
blank,0.0053,0.5,90,25.1850351
stationary,0.0053,0.5,90,26.1859999
moving,0.0053,0.5,90,27.1870188
blank,0.0212,0.031,180,30.1966005
stationary,0.0212,0.031,180,31.1975177
moving,0.0212,0.031,180,32.1984023
blank,0.0053,0.5,90,35.2080556
stationary,0.0053,0.5,90,36.2090508
moving,0.0053,0.5,90,37.2099954
blank,0.0106,0.125,90,40.2195732
stationary,0.0106,0.125,90,41.220515
moving,0.0106,0.125,90,42.2214757
blank,0.000668,16,135,45.231125
stationary,0.000668,16,135,46.2319886
moving,0.000668,16,135,47.2329268
blank,0.001336,8,135,50.2425001
stationary,0.001336,8,135,51.2434457
moving,0.001336,8,135,52.2445525
blank,0.0106,0.125,270,55.2541081
stationary,0.0106,0.125,270,56.2550223
moving,0.0106,0.125,270,57.2559257
blank,0.0212,0.031,180,60.2655114
stationary,0.0212,0.031,180,61.2664503
moving,0.0212,0.031,180,62.267492
blank,0.001336,8,0,65.2770514
stationary,0.001336,8,0,66.2780133
moving,0.001336,8,0,67.2789668
blank,0.000668,16,135,70.2885388
stationary,0.000668,16,135,71.2894859
moving,0.000668,16,135,72.2904301
blank,0.0212,0.031,0,75.3000677
stationary,0.0212,0.031,0,76.3010067
moving,0.0212,0.031,0,77.3019688
blank,0.001336,8,0,80.3115443
stationary,0.001336,8,0,81.3125106
moving,0.001336,8,0,82.313416
blank,0.0053,0.5,315,85.3230009
stationary,0.0053,0.5,315,86.3239571
moving,0.0053,0.5,315,87.3248862
blank,0.0053,0.5,180,90.3345426
stationary,0.0053,0.5,180,91.335518
moving,0.0053,0.5,180,92.336412
blank,0.00267,2,0,95.3460281
stationary,0.00267,2,0,96.346961
moving,0.00267,2,0,97.3479741
blank,0.000668,16,90,100.3575334
stationary,0.000668,16,90,101.3584677
moving,0.000668,16,90,102.3594065
blank,0.00267,2,180,105.3691101
stationary,0.00267,2,180,106.3700171
moving,0.00267,2,180,107.3709529
blank,0.0212,0.031,225,110.380555
stationary,0.0212,0.031,225,111.3815147
moving,0.0212,0.031,225,112.3824435
blank,0.001336,8,135,115.3919775
stationary,0.001336,8,135,116.3929532
moving,0.001336,8,135,117.3939298
blank,0.000668,16,45,120.4034903
stationary,0.000668,16,45,121.4045395
moving,0.000668,16,45,122.4054441
blank,0.0106,0.125,270,125.4150469
stationary,0.0106,0.125,270,126.4160109
moving,0.0106,0.125,270,127.4169147
blank,0.0106,0.125,225,130.4264749
stationary,0.0106,0.125,225,131.4274442
moving,0.0106,0.125,225,132.4284061
blank,0.001336,8,225,135.4379762
stationary,0.001336,8,225,136.4389458
moving,0.001336,8,225,137.4398944
blank,0.0212,0.031,0,140.4494865
stationary,0.0212,0.031,0,141.4504328
moving,0.0212,0.031,0,142.4513767
blank,0.0106,0.125,315,145.4610113
stationary,0.0106,0.125,315,146.4619529
moving,0.0106,0.125,315,147.4628778
blank,0.001336,8,180,150.4725482
stationary,0.001336,8,180,151.4734861
moving,0.001336,8,180,152.4744615
blank,0.0212,0.031,315,155.4840159
stationary,0.0212,0.031,315,156.4849801
moving,0.0212,0.031,315,157.4858881
blank,0.0053,0.5,270,160.4955139
stationary,0.0053,0.5,270,161.4965135
moving,0.0053,0.5,270,162.4975208
blank,0.00267,2,90,165.5070176
stationary,0.00267,2,90,166.5079969
moving,0.00267,2,90,167.5090237
blank,0.001336,8,225,170.5184997
stationary,0.001336,8,225,171.519392
moving,0.001336,8,225,172.5204119
blank,0.0053,0.5,315,175.5299996
stationary,0.0053,0.5,315,176.5309595
moving,0.0053,0.5,315,177.5319144
blank,0.000668,16,45,180.5415278
stationary,0.000668,16,45,181.5424896
moving,0.000668,16,45,182.5433992
blank,0.0106,0.125,225,185.5529882
stationary,0.0106,0.125,225,186.5540327
moving,0.0106,0.125,225,187.5549478
blank,0.0053,0.5,225,190.5644817
stationary,0.0053,0.5,225,191.565442
moving,0.0053,0.5,225,192.566418
blank,0.0106,0.125,315,195.5780698
stationary,0.0106,0.125,315,196.5790564
moving,0.0106,0.125,315,197.5799851
blank,0.00267,2,90,200.5897674
stationary,0.00267,2,90,201.5907479
moving,0.00267,2,90,202.591697
blank,0.0212,0.031,180,205.6013417
