Trial,Cycles Per Pixel,Spatial Frequency,Temporal Frequency,Direction,Time
blank,0.0019335,0.0441942,5.65685,135,0.1286544
stationary,0.0019335,0.0441942,5.65685,135,1.1344826
moving,0.0019335,0.0441942,5.65685,135,2.1383647
blank,0.00773398,0.176777,1.41421,0,5.1964942
stationary,0.00773398,0.176777,1.41421,0,6.1977952
moving,0.00773398,0.176777,1.41421,0,7.2020204
blank,0.000683594,0.015625,16,90,10.3166855
stationary,0.000683594,0.015625,16,90,11.3179485
moving,0.000683594,0.015625,16,90,12.3228327
blank,0.00273438,0.0625,4,135,15.3985459
stationary,0.00273438,0.0625,4,135,16.3995653
moving,0.00273438,0.0625,4,135,17.4042345
blank,0.00773398,0.176777,1.41421,225,20.4669757
stationary,0.00773398,0.176777,1.41421,225,21.4680388
moving,0.00773398,0.176777,1.41421,225,22.4692699
blank,0.00386699,0.0883883,2.82843,0,25.5288682
stationary,0.00386699,0.0883883,2.82843,0,26.5300469
moving,0.00386699,0.0883883,2.82843,0,27.5331298
blank,0.00386699,0.0883883,2.82843,180,30.5883451
stationary,0.00386699,0.0883883,2.82843,180,31.5893549
moving,0.00386699,0.0883883,2.82843,180,32.5923682
blank,0.00773398,0.176777,1.41421,45,35.6511337
stationary,0.00773398,0.176777,1.41421,45,36.6521311
moving,0.00773398,0.176777,1.41421,45,37.6532055
blank,0.0019335,0.0441942,5.65685,0,40.7287529
stationary,0.0019335,0.0441942,5.65685,0,41.7297352
moving,0.0019335,0.0441942,5.65685,0,42.730892
blank,0.0109375,0.25,1,225,45.7913723
stationary,0.0109375,0.25,1,225,46.7928214
moving,0.0109375,0.25,1,225,47.7938906
blank,0.00273438,0.0625,4,90,50.8603943
stationary,0.00273438,0.0625,4,90,51.8613174
moving,0.00273438,0.0625,4,90,52.8630008
blank,0.00773398,0.176777,1.41421,315,55.9414291
stationary,0.00773398,0.176777,1.41421,315,56.9424791
moving,0.00773398,0.176777,1.41421,315,57.945607
blank,0.000683594,0.015625,16,270,61.0467088
stationary,0.000683594,0.015625,16,270,62.0477325
moving,0.000683594,0.015625,16,270,63.0494382
blank,0.0019335,0.0441942,5.65685,90,66.1255825
stationary,0.0019335,0.0441942,5.65685,90,67.1270669
moving,0.0019335,0.0441942,5.65685,90,68.1282558
blank,0.00086227,0.019709,12.6845,45,71.2442796
stationary,0.00086227,0.019709,12.6845,45,72.2452187
moving,0.00086227,0.019709,12.6845,45,73.2489176
blank,0.0019335,0.0441942,5.65685,45,76.3343837
stationary,0.0019335,0.0441942,5.65685,45,77.341934
moving,0.0019335,0.0441942,5.65685,45,78.3470081
blank,0.00086227,0.019709,12.6845,225,81.4525484
stationary,0.00086227,0.019709,12.6845,225,82.453721
moving,0.00086227,0.019709,12.6845,225,83.455132
blank,0.0109375,0.25,1,90,86.5133243
stationary,0.0109375,0.25,1,90,87.5143655
moving,0.0109375,0.25,1,90,88.5176168
blank,0.00386699,0.0883883,2.82843,270,91.574702
stationary,0.00386699,0.0883883,2.82843,270,92.5757655
moving,0.00386699,0.0883883,2.82843,270,93.5767898
blank,0.00546875,0.125,2,270,96.6292082
stationary,0.00546875,0.125,2,270,97.6303688
moving,0.00546875,0.125,2,270,98.6314123
blank,0.00108388,0.0247745,10.091,225,101.7251629
stationary,0.00108388,0.0247745,10.091,225,102.7262469
moving,0.00108388,0.0247745,10.091,225,103.7273215
blank,0.0019335,0.0441942,5.65685,270,106.8004041
stationary,0.0019335,0.0441942,5.65685,270,107.8012086
moving,0.0019335,0.0441942,5.65685,270,108.8024547
blank,0.00086227,0.019709,12.6845,0,111.900906
stationary,0.00086227,0.019709,12.6845,0,112.901979
moving,0.00086227,0.019709,12.6845,0,113.9031096
blank,0.000683594,0.015625,16,45,117.0378442
stationary,0.000683594,0.015625,16,45,118.0387546
moving,0.000683594,0.015625,16,45,119.0400958
blank,0.00108388,0.0247745,10.091,0,122.1357473
stationary,0.00108388,0.0247745,10.091,0,123.1365756
moving,0.00108388,0.0247745,10.091,0,124.137843
blank,0.0019335,0.0441942,5.65685,315,127.2126048
stationary,0.0019335,0.0441942,5.65685,315,128.2140477
moving,0.0019335,0.0441942,5.65685,315,129.2192173
blank,0.00273438,0.0625,4,0,132.2921371
stationary,0.00273438,0.0625,4,0,133.2931589
moving,0.00273438,0.0625,4,0,134.2944708
blank,0.00108388,0.0247745,10.091,180,137.3864083
stationary,0.00108388,0.0247745,10.091,180,138.3872486
moving,0.00108388,0.0247745,10.091,180,139.3907705
blank,0.00108388,0.0247745,10.091,135,142.4888328
stationary,0.00108388,0.0247745,10.091,135,143.4898178
moving,0.00108388,0.0247745,10.091,135,144.4917163
blank,0.00546875,0.125,2,45,147.5650956
stationary,0.00546875,0.125,2,45,148.5659853
moving,0.00546875,0.125,2,45,149.5692193
blank,0.0109375,0.25,1,45,152.6260254
stationary,0.0109375,0.25,1,45,153.6269672
moving,0.0109375,0.25,1,45,154.6281324
blank,0.000683594,0.015625,16,0,157.7475289
stationary,0.000683594,0.015625,16,0,158.7486255
moving,0.000683594,0.015625,16,0,159.7497887
blank,0.00108388,0.0247745,10.091,45,162.8498046
stationary,0.00108388,0.0247745,10.091,45,163.8508415
moving,0.00108388,0.0247745,10.091,45,164.8544936
blank,0.0109375,0.25,1,270,167.9070397
stationary,0.0109375,0.25,1,270,168.9081242
moving,0.0109375,0.25,1,270,169.9091143
blank,0.00386699,0.0883883,2.82843,45,172.9787233
stationary,0.00386699,0.0883883,2.82843,45,173.9796141
moving,0.00386699,0.0883883,2.82843,45,174.9832714
blank,0.00773398,0.176777,1.41421,180,178.0393278
stationary,0.00773398,0.176777,1.41421,180,179.0401911
moving,0.00773398,0.176777,1.41421,180,180.0418054
blank,0.00086227,0.019709,12.6845,135,183.1399299
stationary,0.00086227,0.019709,12.6845,135,184.141019
moving,0.00086227,0.019709,12.6845,135,185.1438263
blank,0.0109375,0.25,1,315,188.2046526
stationary,0.0109375,0.25,1,315,189.2057156
moving,0.0109375,0.25,1,315,190.2067168
blank,0.00273438,0.0625,4,180,193.270636
stationary,0.00273438,0.0625,4,180,194.2716491
moving,0.00273438,0.0625,4,180,195.2729693
blank,0.00546875,0.125,2,0,198.3334831
stationary,0.00546875,0.125,2,0,199.3345842
moving,0.00546875,0.125,2,0,200.3356754
blank,0.00136719,0.03125,8,45,203.4298201
stationary,0.00136719,0.03125,8,45,204.430987
moving,0.00136719,0.03125,8,45,205.4321204
blank,0.0019335,0.0441942,5.65685,225,208.5098579
stationary,0.0019335,0.0441942,5.65685,225,209.5104664
moving,0.0019335,0.0441942,5.65685,225,210.5138034
blank,0.00086227,0.019709,12.6845,90,213.6162651
stationary,0.00086227,0.019709,12.6845,90,214.6173685
moving,0.00086227,0.019709,12.6845,90,215.6206163
blank,0.00773398,0.176777,1.41421,135,218.6824285
stationary,0.00773398,0.176777,1.41421,135,219.6833959
moving,0.00773398,0.176777,1.41421,135,220.6846652
blank,0.00773398,0.176777,1.41421,90,223.7422975
stationary,0.00773398,0.176777,1.41421,90,224.7433024
moving,0.00773398,0.176777,1.41421,90,225.7443891
blank,0.00136719,0.03125,8,225,228.8282462
stationary,0.00136719,0.03125,8,225,229.8293227
moving,0.00136719,0.03125,8,225,230.8305087
blank,0.0019335,0.0441942,5.65685,180,233.9038533
stationary,0.0019335,0.0441942,5.65685,180,234.9050506
moving,0.0019335,0.0441942,5.65685,180,235.9061568
blank,0.00108388,0.0247745,10.091,315,238.9999149
stationary,0.00108388,0.0247745,10.091,315,240.000889
moving,0.00108388,0.0247745,10.091,315,241.0040152
blank,0.00546875,0.125,2,135,244.0660168
stationary,0.00546875,0.125,2,135,245.0670517
moving,0.00546875,0.125,2,135,246.0706325
blank,0.0109375,0.25,1,180,249.1224815
stationary,0.0109375,0.25,1,180,250.1235981
moving,0.0109375,0.25,1,180,251.1246875
blank,0.00136719,0.03125,8,90,254.2058073
stationary,0.00136719,0.03125,8,90,255.2068577
moving,0.00136719,0.03125,8,90,256.210552
blank,0.00773398,0.176777,1.41421,270,259.260311
stationary,0.00773398,0.176777,1.41421,270,260.261521
moving,0.00773398,0.176777,1.41421,270,261.2624856
blank,0.000683594,0.015625,16,315,264.3787649
stationary,0.000683594,0.015625,16,315,265.380082
moving,0.000683594,0.015625,16,315,266.3851563
blank,0.00386699,0.0883883,2.82843,135,269.4610242
stationary,0.00386699,0.0883883,2.82843,135,270.4631736
moving,0.00386699,0.0883883,2.82843,135,271.4644065
blank,0.00136719,0.03125,8,270,274.5381811
stationary,0.00136719,0.03125,8,270,275.5391619
moving,0.00136719,0.03125,8,270,276.5403051
blank,0.00136719,0.03125,8,180,279.6261017
stationary,0.00136719,0.03125,8,180,280.6342194
moving,0.00136719,0.03125,8,180,281.6354209
blank,0.000683594,0.015625,16,180,284.7499093
stationary,0.000683594,0.015625,16,180,285.7511467
moving,0.000683594,0.015625,16,180,286.7522189
blank,0.00273438,0.0625,4,270,289.819146
stationary,0.00273438,0.0625,4,270,290.8200916
moving,0.00273438,0.0625,4,270,291.8212514
blank,0.0109375,0.25,1,135,294.8805744
stationary,0.0109375,0.25,1,135,295.8815068
moving,0.0109375,0.25,1,135,296.882584
blank,0.00546875,0.125,2,225,299.9425989
stationary,0.00546875,0.125,2,225,300.9436843
moving,0.00546875,0.125,2,225,301.944806
blank,0.00273438,0.0625,4,315,305.017789
stationary,0.00273438,0.0625,4,315,306.0188924
moving,0.00273438,0.0625,4,315,307.0199972
blank,0.00136719,0.03125,8,315,310.1116858
stationary,0.00136719,0.03125,8,315,311.1125349
moving,0.00136719,0.03125,8,315,312.1149185
blank,0.000683594,0.015625,16,225,315.2430273
stationary,0.000683594,0.015625,16,225,316.2440518
moving,0.000683594,0.015625,16,225,317.2455144
blank,0.00136719,0.03125,8,135,320.3392128
stationary,0.00136719,0.03125,8,135,321.3403157
moving,0.00136719,0.03125,8,135,322.3413921
blank,0.00086227,0.019709,12.6845,315,325.4557498
stationary,0.00086227,0.019709,12.6845,315,326.4566728
moving,0.00086227,0.019709,12.6845,315,327.4579623
blank,0.00108388,0.0247745,10.091,90,330.5516981
stationary,0.00108388,0.0247745,10.091,90,331.5527005
moving,0.00108388,0.0247745,10.091,90,332.5538061
